OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
EYESAT A (AO-27),1993-061C,Sattelite,2026-02-22T16:09:13.561632,14.30907583,0.00094522,98.7017,121.0695,78.8586,281.3658,0,U,22825,999,69062,5.4421349e-05,9.8e-07,0.0,False,False,False,False,False,False,False,False,satnogs,
ITAMSAT (IO-26),1993-061D,Sattelite,2026-02-22T03:03:13.523040,14.31330786,0.00098855,98.6965,120.4289,65.35,294.8711,0,U,22826,999,69085,5.1701195e-05,9.2e-07,0.0,False,False,False,False,False,False,False,False,satnogs,
USA 99 (MILSTAR-1 1),1994-009A,Sattelite,2026-02-21T22:35:08.587104,1.00274321,0.000398,17.4461,28.9467,290.4535,81.2247,0,U,22988,999,3180,0.0,-1.95e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
RADIO ROSTO (RS15),1994-085A,Sattelite,2026-02-22T21:13:36.854976,11.27584372,0.01520277,64.816,128.0791,24.8556,335.9595,0,U,23439,999,28301,0.0039984937,9.8e-07,0.0,False,False,False,False,False,False,False,False,satnogs,
UFO 4 (USA 108),1995-003A,Sattelite,2026-02-22T15:14:17.795616,1.00271157,0.000363,9.6635,13.6022,323.2621,216.5215,0,U,23467,999,11380,0.0,-1.8e-07,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
TDRS 7,1995-035B,Sattelite,2026-02-22T19:58:35.542848,1.00279012,0.00078438,13.4242,348.9753,45.016,147.2084,0,U,23613,999,11210,0.0,-2.34e-06,0.0,False,False,TDRSS,False,False,False,False,False,False,geo_protected_zone_plus
USA 115 (MILSTAR-1 2),1995-060A,Sattelite,2026-02-22T11:53:38.617440,1.00272693,0.0003657,14.0314,4.5942,326.388,239.8061,0,U,23712,999,3173,0.0,-1.6e-07,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
POLAR,1996-013A,Sattelite,2026-02-21T12:05:17.793888,1.29845862,0.6353068,79.7261,228.3702,212.9992,83.1498,0,U,23802,999,14335,0.0,2.68e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
INMARSAT 3-F1,1996-020A,Sattelite,2026-02-22T16:13:34.614048,0.99993695,0.00064527,10.3635,47.6744,263.1086,105.1523,0,U,23839,999,10911,0.0,7.6e-07,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
USA 119,1996-029A,Sattelite,2026-02-22T22:16:17.824512,13.45844518,0.0845593,63.3208,131.0055,47.4014,319.5255,0,U,23893,999,8989,0.0001767617,9.31e-06,0.0,False,False,False,False,False,False,False,False,False,
